RevenuePerDay,NCustomersPerDay,AverageOrderValue,WorkingHoursPerDay,NEmployees,MarketingSpendPerDay,LocationFootTraffic
2277.83,241,8.23,13,12,495.41,142
1340.39,276,4.49,14,13,146.17,746
1160.07,226,2.66,11,10,254.11,776
613.04,148,3.12,8,14,171.47,556
1304.23,85,9.76,15,12,225.9,578
1879.51,145,4.72,8,13,429.91,314
2008.14,201,8.27,16,6,345.26,675
2078.84,200,7.18,17,8,442.4,341
1412.89,239,5.36,6,4,109.72,513
1694.57,273,4.04,16,11,437.95,853
480.43,86,3.41,10,5,39.28,609
2646.98,317,7.11,9,11,445.41,868
3250.59,418,8.31,14,10,171.25,146
1471.46,232,7.33,14,11,164.15,936
684.41,62,6.48,10,11,260.92,144
1716.21,328,2.81,15,13,470.94,375
2198.7,266,9.76,9,2,33.41,123
3410.18,404,8.49,12,3,182.59,385
2354.26,410,4.7,11,6,429.72,117
3151.74,335,9.85,9,4,204.07,807
1822.27,322,7.01,15,3,107.59,967
3184.29,418,6.87,7,2,218.15,126
1212.01,111,8.11,6,11,198.92,257
2249.11,133,8.59,9,4,458.55,933
3575.63,417,7.42,9,2,383.35,815
1482.7,266,3.46,6,13,257.51,270
2165.16,391,5.04,11,2,494.3,311
3800.86,446,9.46,9,13,237.99,459
954.1,236,4.18,6,2,38.54,380
301.89,68,5.29,6,9,138.51,393
1366.76,226,5.74,6,4,223.67,820
1413.35,149,5.8,13,12,86.88,869
3792.99,445,7.1,15,2,474.31,123
4646.33,494,9.57,13,8,385.76,686
832.84,282,4.31,7,11,141.46,749
1632.44,452,3.41,16,4,299.49,303
881.58,125,3.98,12,9,363.51,882
3228.38,314,9.15,13,5,471.23,869
2606.99,333,7.34,13,5,442,796
1684.51,255,4.64,16,6,262.44,811
2552.25,272,8.62,15,7,389.58,381
4049.6,433,8.96,16,8,285.45,447
1236.47,101,8.85,12,5,280.82,394
3566.01,388,9.39,10,9,66.22,633
1703.75,416,4.39,6,14,71.81,796
1636.6,193,8.16,17,7,269.47,885
2352.7,422,5.95,14,2,141.74,717
849.19,118,8.81,12,2,20.31,504
2019.47,148,7.96,7,10,364.19,955
3386.34,445,8.32,11,11,25.92,164
947.63,74,7.42,7,7,301.69,362
2259.5,485,3.83,6,11,274.2,277
3265.53,428,6.59,12,9,484.72,883
1503.13,102,9.89,7,14,247.26,907
1702.72,200,9.53,7,8,41.16,294
815.6,193,2.82,16,13,280.33,867
793.95,106,3.74,10,7,422.14,575
1394.11,88,3.49,10,5,498.46,577
1446.41,158,7.94,12,8,220.87,999
1802.03,230,8.63,6,10,166.95,476
1056.55,91,4.1,13,12,454.26,91
1355.89,235,6.29,8,11,103.71,514
4131.91,472,8.81,9,11,311.56,671
3593.75,447,8,14,8,208.8,327
1957.73,272,6.57,9,2,30.13,885
1357.1,171,6.93,15,11,180.17,68
1101.31,182,6.31,17,10,139.96,115
1320.77,212,4.73,10,14,346.18,216
2445.08,264,6.74,12,5,474.91,634
1684.15,270,7.67,9,4,141.34,452
2716.07,284,9.05,6,5,407.62,961
2584.56,380,7.27,14,5,37.13,871
1510.04,195,8.21,9,14,273.68,458
963.39,288,3.7,14,11,44.57,161
1276.37,125,5.96,11,12,467.68,323
887.91,58,2.57,6,3,385.51,456
930.09,123,4.35,17,13,332.4,422
4371.01,491,7.95,8,2,413.71,646
4532.39,450,9.94,16,13,327.28,700
1963.09,302,3.24,7,11,484.78,88
1645.82,279,5.51,14,13,359.84,154
1446.45,56,8.5,17,2,463.08,373
1121.68,223,4.03,6,14,263.39,842
1534.69,190,6.66,14,9,67.36,463
2202.66,217,8,14,3,268.81,478
941.23,219,7.12,13,13,72.17,684
2101.71,442,3.91,13,11,300.32,779
2816.55,483,5.17,16,6,246.42,938
3242.25,332,8.38,17,13,315.06,110
812.03,171,6.66,6,5,14.92,661
831.77,243,2.54,16,9,105.47,356
814.15,54,8.21,13,3,250.75,403
993.66,78,2.76,15,11,475.75,442
2054.88,214,8.09,8,10,197.97,253
2262.33,471,4.02,16,8,217.94,307
3792.9,388,9.69,12,14,360.2,535
1387.66,185,5.26,16,8,305.86,566
2087.3,414,4.95,6,2,156.47,495
1474.54,370,3.62,6,13,211.3,758
1831.85,391,4.79,15,3,116.67,229
2347.84,194,9.07,10,5,483.35,391
3364.47,376,9.97,10,5,74.01,182
1724.15,266,5.26,13,12,192.2,492
2133.75,350,5.86,12,4,22.66,885
1304.06,181,7.92,13,8,118.67,302
3660.45,341,9.15,11,13,392.43,314
743.48,119,6.95,11,9,108.58,142
1727.1,301,5.44,7,3,49.23,711
2961.4,464,5.59,11,5,242.48,460
2254.57,324,7.72,10,4,14.88,187
1035.6,494,2.52,8,3,51.54,257
3148.53,413,7.15,11,13,405.74,686
1729.24,231,5.17,13,14,388.02,795
2725.18,216,8.46,14,7,458.42,622
707.72,140,3.2,6,14,428.71,356
2098.16,251,6.91,8,5,344.76,315
2207.95,395,6.11,8,7,35.64,695
947.08,68,7.32,16,3,393.6,367
857.1,88,2.99,13,13,424.3,162
1572.76,175,6.85,6,5,401.55,950
1978.01,222,6.71,10,12,259.15,427
1600.38,190,6.7,8,7,124.12,503
2495.1,291,7.03,7,6,424.21,240
2353.93,269,7.57,13,4,366.31,940
1982.3,175,8.54,8,9,490.57,489
582.77,107,4.52,12,8,86.29,236
2091.17,197,8.69,17,4,120.58,880
2205.38,366,6.24,16,7,113.78,416
1627.13,432,3.08,6,5,398.34,138
1157.68,410,2.94,11,12,101.58,236
2342.93,472,5.01,8,6,42.66,868
982.94,50,8.39,13,12,499.29,995
3091.14,436,7.81,11,6,22.16,181
3728.37,397,8.41,17,8,419.27,921
1527.51,239,6.38,7,12,189.03,684
1533.5,240,5.8,11,6,422.39,609
1566.44,418,3.61,12,12,281.76,849
2550.46,458,4.96,10,4,451.8,425
2521.4,361,5.76,8,11,463.83,740
1355.85,466,3.16,9,6,14.46,741
1994.35,471,4.15,9,8,46.95,148
997.87,166,6.99,11,6,132.68,891
1963.49,183,8.02,15,6,337.96,83
1555.73,107,9.99,6,10,445.25,981
791.1,93,9.5,16,4,235.37,631
1926.38,222,7.32,9,14,307.42,220
1481.44,209,5.66,15,7,102.36,415
2235.81,222,7.27,9,2,404.43,833
3474.4,366,8.39,15,11,483.99,108
1511.52,352,3.39,6,6,141.61,230
1409.71,198,5.57,14,9,252.46,68
1296.22,129,8.8,9,6,52.2,275
2141.82,423,5.38,12,10,283.98,522
1735.69,262,6.79,17,12,256.36,144
1834.15,252,6.91,8,7,80.77,930
1698.86,301,3.88,15,9,226.61,346
1650.07,278,5.22,17,11,173.71,642
1259.5,213,5.01,8,9,265.7,224
946.03,276,2.7,13,14,296.97,271
430.93,196,2.68,13,4,14.16,664
1359.82,69,8.74,16,8,382.89,103
2477.11,490,4.55,17,8,359.38,744
3087.47,451,6.39,6,11,189.48,912
593.96,96,4.74,15,13,35.94,452
3338.99,282,9.56,7,7,379.92,367
2171.7,354,4.44,13,13,478.04,916
505.91,63,5.72,6,8,127.67,398
2036.17,192,9.05,17,3,168.53,492
3642.11,464,8.81,13,10,100.07,882
525.75,50,3.9,13,11,292.7,629
3028.7,422,8.52,7,11,85.87,589
576.58,103,5.94,9,2,184.54,835
3241.87,423,6.12,11,2,351.54,331
1535.35,308,3.5,17,4,284.46,409
563.38,193,3.1,16,4,199.37,964
4073.21,490,7.96,14,2,215.92,872
628.88,61,6.22,13,13,285.43,680
2119.05,379,5.78,17,8,12.87,941
2156.14,273,7.97,13,5,48.47,695
3376.26,321,8.24,12,11,441.82,690
1316.34,407,3.69,14,14,48.16,57
3298.45,457,7.08,7,3,356.33,612
802.86,205,3.52,8,11,460.82,540
3281.16,422,8.14,15,6,142.63,390
813.53,57,7.43,13,7,191.54,521
2093.76,171,9.67,11,10,288.77,842
1992.59,397,3.02,15,5,442.04,736
1326.94,213,2.93,14,3,471.53,744
1237.5,139,4.62,15,6,372.39,753
834.87,185,4.46,9,4,52.44,298
1568.35,235,4.35,13,3,337.89,284
3184.78,365,9.3,15,13,211.05,132
972.06,227,4.37,8,2,240.64,142
199.99,77,4.54,8,11,34.08,934
2183.37,269,8.2,13,3,103.62,443
2480.84,406,5.87,10,7,397.35,873
896.74,90,8.33,8,9,232.44,317
861.86,277,2.99,15,14,157.81,466
1789.72,241,6.16,16,4,198.17,681
1913.51,460,2.75,6,12,428.66,632
1905.42,496,2.97,8,10,377.01,578
1929.14,194,9.3,17,13,143.43,302
992.03,250,3.54,14,10,67.58,171
2849.4,466,6.49,10,3,133.48,941
1894,261,5.58,17,9,461.17,59
1986.94,269,5.11,15,11,294.98,848
2315.21,289,9.25,7,12,271.41,365
1411.11,462,2.66,12,13,302.23,887
3245.74,446,7.48,7,6,189.35,322
1552.13,95,9.73,9,5,405.48,355
1133.24,84,6.7,17,11,266.41,854
3062.42,302,9.53,12,6,67.21,259
1233.36,439,2.89,9,5,73.24,779
1069.6,131,5.64,12,9,273.06,802
2458,420,4.45,12,5,468.92,935
2325.92,305,7.98,6,14,161.09,513
2600.28,246,9.86,11,11,436.08,761
1957.62,352,4.42,14,13,384.41,777
3400.62,458,7.41,7,14,131.43,766
1785.04,499,3.99,8,7,27.81,974
530.45,59,6.74,15,3,59.91,465
2119.58,361,5.98,10,6,366.96,265
3117.13,335,9.79,14,7,107.84,129
2056.2,291,7.06,9,6,191.92,828
1511.12,300,5.12,6,13,255.83,529
1931.6,414,3.36,9,3,365.48,951
643.77,54,3.63,11,8,65.48,940
1145.2,168,4.19,10,5,209.12,596
1914.68,338,4.38,6,9,247.69,850
3935.63,423,8.88,9,8,275.01,67
1434.24,114,6.71,11,8,411,214
909.76,195,6.43,15,10,94.12,574
1408.72,273,3.36,15,2,405.84,251
2945.84,288,8.95,9,11,349.51,790
2140.78,226,7.92,14,7,282.38,395
1639.54,316,3.01,10,7,352.77,415
2852.67,390,7.81,13,7,211.89,497
2198.35,331,6.58,14,14,77.81,562
604.81,112,3.11,15,13,336.22,368
1780.33,266,5.94,10,7,267.09,266
2633.21,391,6.14,11,13,323.29,83
1661.17,364,3.74,6,11,175.62,920
3696.02,332,9.59,16,8,454.36,315
2274.94,226,8.87,17,11,297.81,689
2801.26,466,7.52,12,7,51.85,773
1224.4,147,5.97,9,2,230.4,824
1292.15,154,5.59,16,4,380.61,873
1860.07,148,7.38,7,3,399.13,129
3183.28,434,6.59,10,7,252.35,726
1698.58,454,2.97,17,9,448.43,462
2382.33,360,6.34,8,4,141.16,301
860.39,55,8.55,11,11,211.19,61
2096.42,246,5.94,13,9,450.31,450
1794.07,400,2.89,12,9,449.17,865
2020.95,182,8.4,8,6,346,773
2415.51,407,4.01,13,9,430.9,331
1200.74,308,4.44,7,7,53.5,161
2105.49,486,3.74,15,6,433.85,772
729.9,72,4.98,14,10,167.1,427
520.32,102,8.18,9,8,97.38,800
1554.38,214,6.4,6,9,127.29,317
1330.22,251,4.04,13,2,214.8,966
809.22,132,9.08,12,12,133.08,347
1712.21,194,9.1,16,3,167.08,366
1518.42,134,9.03,10,9,76.14,619
431.61,127,4.29,15,13,155.13,558
2674.33,415,5.88,10,10,290.42,999
583.83,50,9.89,12,5,226.51,595
874.15,100,8.29,10,13,179.89,824
1486.36,222,2.7,13,11,375.76,414
1379.93,254,2.99,16,12,447.82,596
2337.67,309,5.98,11,11,380.83,320
4388.59,495,9.32,10,10,172.68,523
3190.37,498,6.54,14,5,374.78,788
2233.45,418,6.23,16,11,84.47,586
1344.33,337,3.29,7,11,73.86,283
854.64,83,7.43,6,11,179.36,108
3552.39,397,8.67,13,10,405.77,300
885.01,144,5.35,17,12,130.71,896
1099.85,121,8.32,8,8,40.99,135
973.32,88,9.73,16,3,74.54,812
1228.51,203,4.03,17,10,430.79,439
1893.39,299,6.42,17,5,320.55,229
1002.73,211,4.65,17,9,134.07,768
4348.58,487,8.45,12,8,282.09,905
1600.19,167,6.83,15,14,268.51,198
2591.29,308,7.26,16,8,331.16,632
3418.71,428,8.48,13,9,124.26,170
2294.66,355,5.47,11,2,433.56,814
2882.33,317,9.36,17,6,161.59,654
3594.83,498,6.5,15,3,350.12,305
570.02,103,3.68,14,3,17.9,815
2216.72,285,7.72,12,2,192.6,913
4111.75,438,8.45,15,6,182.34,849
1623.18,271,4.88,10,3,276.31,358
2410.17,300,8.93,13,5,45.64,108
3920.81,362,9.3,7,4,397.16,118
1622.31,450,4.58,12,4,116.71,495
2040.24,161,9.88,9,3,341.75,437
1564.81,304,3.56,14,14,403.57,135
1991.15,352,4.02,17,7,285.32,835
2272.88,456,3.88,6,3,373.03,276
2648.97,256,9.2,12,9,334.31,642
2262.82,278,7.41,11,9,184.21,675
1676.03,390,3.64,13,14,406.34,233
2758.3,447,5.8,10,13,154.4,841
901.8,115,7.11,6,6,289.89,371
983.87,124,3.13,6,11,375.24,958
4273.33,484,9.12,14,8,195.69,367
1051.83,152,8.53,15,5,158.36,615
3032.74,471,6.29,11,2,235.08,448
2787.37,241,9.75,15,12,410.8,758
2092.68,301,5.63,10,3,465.66,948
2658.45,275,9.88,6,11,277.09,342
2917.95,343,7.51,11,11,334.12,342
3070.93,355,7.26,11,5,452.6,534
627.6,147,3.74,8,2,58.29,948
3360.36,387,9.11,13,14,123.72,496
2144.29,335,5.71,6,9,357.36,852
2360.51,384,3.72,6,10,413.63,741
1508.32,396,2.59,11,5,429.94,941
3065.6,484,6.7,15,11,213.4,461
2975.3,496,6.46,6,4,53.78,557
2838.85,357,7.9,11,3,224.51,783
2582.36,298,9.18,6,6,123.06,835
1203.74,215,3.1,11,4,152.69,939
3118.01,384,7.99,8,11,388.41,293
356,79,3.91,13,8,47.01,469
2792.35,296,8.94,11,12,415.51,978
1426.42,155,8.64,16,7,219.56,203
1390.73,100,6.56,6,2,302.07,865
1053.29,130,7.83,10,13,53.93,473
1112.91,182,4.86,13,9,175.31,322
1705.65,334,6.03,8,3,53.95,985
4042.79,437,8.66,17,6,481.16,696
1972.67,187,5.94,11,10,405.56,874
1538.95,233,5.18,10,9,235.22,569
2626.46,450,6.21,11,3,119.57,177
3760.19,379,8.71,15,10,467.39,422
1773.71,322,5.01,6,6,178.85,617
1295.81,389,3.8,12,11,88.88,687
1187.77,118,7.84,14,7,285.95,208
1808.73,83,8.69,7,14,472.45,620
1005.9,311,3.25,15,4,11.88,619
270.95,102,4.3,10,14,126.68,701
2405.6,499,3.56,15,4,469.84,225
1569.51,254,5.11,9,11,93.83,976
843.46,175,5.88,11,9,65.49,669
2418.19,284,8.12,11,12,289.39,260
1550.27,92,7.38,16,11,432.3,496
2234.97,289,7.16,7,11,243.78,635
2660.35,420,5.14,7,13,497.34,216
1515.61,160,8.81,9,3,342.79,509
1900.81,298,6.03,6,12,46.3,965
2478.24,200,9.84,14,13,496.49,406
1396.5,232,7.26,12,13,209.87,353
1107.14,385,3.45,17,3,150.83,282
1293.8,144,7.57,12,14,283.36,376
1904.75,423,4.94,8,6,159.11,933
2986.71,449,7.65,16,7,52.36,231
639.91,57,3.02,17,13,10.7,683
1985.43,437,3.81,8,3,230.3,383
3398.07,409,8.92,6,6,420.06,764
2024.64,437,4.2,8,8,290.43,78
2572.68,233,8.78,8,11,499.61,763
1293.67,330,4.59,9,11,150.55,142
1935.48,244,7.32,9,9,147.42,890
2506.68,401,7.71,8,13,88.28,917
1747.24,244,6.34,15,8,90.39,737
1392.36,204,4.79,17,9,149.74,379
1590.95,142,4.09,13,13,398.49,772
883.14,209,2.75,13,10,453.82,233
2535.37,483,4.78,6,6,487.79,144
1056.86,110,7.4,12,14,123.82,834
2367.5,171,9.54,16,6,441.84,698
1230.75,100,9.03,7,12,170.84,798
3669.98,452,8.25,6,11,65.29,402
3397.32,326,8.41,8,5,436.31,979
887,54,7.49,9,14,321.69,990
658.28,141,4.45,11,10,90.72,314
1890.32,219,9.3,15,6,220.62,696
2646.9,366,7.53,10,3,150.76,705
955.7,71,6.7,9,11,371.03,68
1518.96,454,3.33,13,9,232.17,792
2708.86,375,5.85,16,8,494.75,695
110.52,50,5.95,17,9,36.83,675
1969.53,182,8.98,9,13,183.96,548
2129.44,282,6.6,15,4,246.13,188
586.6,61,5.35,17,5,256.54,686
3779.55,395,9.83,7,6,164.81,765
614.69,95,3.33,8,7,367.33,622
880.76,83,5.67,11,2,438.63,811
1801.5,482,2.82,13,5,469.97,859
1488.48,127,8.05,13,12,404.5,574
2924.83,267,9.39,16,13,426.78,957
1897.69,350,4.6,14,11,279.77,304
4059.44,460,8.94,12,14,414.69,134
736.9,122,4.69,7,6,158.72,507
2923.67,331,9.33,13,8,205.25,581
1751.97,298,8.15,12,14,165.29,611
1711.5,96,8.54,13,6,239.02,725
469.08,170,2.64,17,14,149.93,141
2873.88,263,9.72,8,14,481.19,649
2036.29,288,7.95,12,2,163.29,118
328.22,105,4.79,15,12,58.04,86
3495.83,399,8.72,14,8,268.14,814
974.58,156,4.61,8,9,37.98,813
3054.75,368,9.05,15,14,64.17,189
403.12,97,3.34,11,8,117.5,916
1366.57,110,7.78,7,12,237.53,942
2507.5,386,6.56,7,14,222.29,729
824.35,75,3.22,10,5,401.85,615
1696.93,341,4.31,10,9,372.34,947
1378.66,306,2.59,12,6,218.9,227
778.81,57,6.02,17,11,173.52,858
911.02,162,4.76,7,10,165.07,862
3045.57,404,6.99,16,13,389.26,920
1332.53,302,4.73,12,13,35.52,667
975.72,229,4.75,10,11,16.28,186
2149.69,256,8.07,11,6,399.82,239
1488.28,352,2.86,13,2,243.8,689
1534.14,176,9.27,15,13,74.13,391
1407.92,105,8.89,17,10,125.43,608
2562.38,263,7.51,9,13,466.93,54
536.59,63,6.95,12,6,431.16,306
917.23,77,9.19,11,7,357.79,861
384.85,127,3.89,15,5,246.29,711
875.6,265,3.09,7,7,264.96,855
2088.53,435,4.3,13,13,487.87,292
3927.55,414,8.46,15,9,483.23,836
614.25,203,2.76,14,4,115.48,769
1148.8,63,6.87,10,6,407.44,464
2269.98,236,9.97,15,3,106.65,676
3021.99,361,8.92,9,3,114.63,756
3335.56,420,6.41,11,14,341.29,392
507.43,56,2.98,13,8,208.45,731
1092.62,52,8.74,16,11,466.46,428
916.29,160,6.99,8,14,53.61,643
1534.74,456,3.36,15,11,260.65,715
1670.78,287,3.2,16,12,460.08,702
4277.53,412,9.32,16,11,453.02,875
2393.55,288,7.52,6,7,86.7,195
2915.16,323,8.72,9,5,189.65,372
3197.52,343,9.09,9,6,313.37,171
1920.99,276,6.79,6,2,88.1,301
3122.07,420,6.38,14,8,484.33,904
1190.47,64,5.73,8,9,458.23,948
1463.05,241,4.88,10,10,91.81,360
941.26,168,5.76,11,9,69.37,650
1004.43,77,8.3,13,6,51.85,524
2504.67,251,7.01,11,4,455.63,619
888.7,88,9.19,8,11,104.88,541
3026.15,490,5.83,11,12,213.98,624
2449.1,322,7.05,6,10,229.94,396
2281.64,280,7.23,9,7,303.52,869
1293.56,135,6.94,11,6,45.15,536
1508.96,175,7.77,12,14,121.11,522
1875.8,349,4.28,16,4,466.43,431
899.33,74,6.34,16,7,455.12,329
964.51,194,3.28,15,4,392.83,121
427.37,62,5.38,8,11,19.51,570
1634.03,261,6.16,14,13,170.23,415
1035.38,74,7.39,17,7,317.7,982
1418.58,117,9.63,17,5,144.84,143
3880.19,443,7,12,3,455.7,422
1260.77,116,8.08,6,9,320.61,388
1385.07,282,6.3,7,5,45.23,486
2073.97,158,7.26,6,10,455.41,385
959.31,195,3.03,16,8,479.31,713
407.87,160,4.41,14,13,48.08,541
2058.43,277,5.21,14,3,270.86,966
1320.98,160,6.04,12,5,158.65,917
612.85,83,2.84,15,6,202.49,89
648.26,160,3.55,8,4,98.03,408
1682.24,313,4.58,10,10,293.26,623
4756.55,473,9.79,9,14,479.41,303
2205.39,418,4.99,12,6,256.51,630
1636.24,285,6.12,14,3,50.63,447
667.45,132,3.97,17,12,313.8,806
680.87,91,7.08,7,4,176.71,926
2188.34,474,4.61,13,10,429.4,219
896.82,150,4.05,14,8,222.99,739
487.67,55,6.37,15,3,104.49,750
1034.66,229,2.54,15,10,103.64,560
1417.77,331,2.56,14,5,386.69,309
1473.9,369,4.14,15,14,140.14,633
1226.89,275,2.78,12,10,385.94,508
1729.35,492,3.31,14,14,110.88,578
2515.07,489,5.04,14,3,167.63,931
3263.94,364,8.52,8,13,238.09,390
3313.62,414,6.79,9,11,472.17,106
2238.07,278,6.35,7,13,466.55,267
1861.88,426,4.7,15,5,111.37,668
3047.24,338,9.49,8,6,185.53,865
2336.71,486,5.48,16,3,83.21,989
737.58,199,3.15,16,11,259.89,734
2813.17,326,7.13,10,2,235.69,780
1446.7,247,3.35,10,8,451.37,513
1212.63,119,5.09,11,11,465.7,296
1112.07,161,6.31,12,2,197.95,779
894.36,53,9.06,12,12,250.95,422
3140.89,399,6.2,6,12,449.16,466
3409.93,380,7.77,7,9,405.29,80
4634.73,495,9.95,17,4,11.79,417
1285.69,367,3.49,14,11,166.83,608
1961.68,399,4.56,15,7,216.67,695
776.78,144,5.46,7,8,122.56,157
1206.99,201,5.66,11,11,107.79,633
2105.2,360,5.58,16,2,28.51,888
2134.25,186,9.31,16,7,325.25,467
2627.19,296,7.86,6,8,138.63,669
2766.11,436,7.06,8,7,35.65,870
1290.07,292,4.82,7,5,123.18,447
1331.8,80,8.68,8,2,402.94,321
1438.38,89,9.66,10,12,427.23,732
2601.32,278,8.66,16,10,246.7,165
547.46,85,2.51,15,5,213.87,890
3626.99,457,7.27,11,8,489.15,635
906.59,272,2.88,14,8,108.28,305
587.25,55,4.43,17,3,115.53,130
1429.74,371,2.95,16,2,153.01,829
1746.03,269,7.03,15,9,94.65,177
1193.78,124,7.65,17,9,195.89,887
1140.16,53,3.36,17,8,456.31,964
2233.03,384,5.38,9,9,311.52,284
1162.91,183,5.92,12,4,211.85,602
1652.75,167,5.27,11,12,467.86,230
1457.26,418,3.41,7,3,33.75,206
728.03,143,5.64,15,8,113.04,503
3692.47,484,8.13,16,9,287.29,620
812.44,111,3.03,16,2,311.62,906
1327.45,490,3.1,16,13,29.38,810
1102.91,243,5.16,13,11,207.49,753
3658.63,384,9.56,12,10,328.09,73
2351.86,252,7.51,12,14,352.05,522
3466.22,441,7.59,13,12,322.69,449
915.52,75,5.21,17,5,167.08,997
2693.7,484,6.95,17,13,55.82,641
1112.02,222,2.58,16,5,219.29,183
2324.36,349,7.27,6,4,73.09,470
2145.36,182,9.35,6,7,474.34,262
2446.88,375,7.09,13,2,242.83,949
4079.76,459,9.05,9,7,165.46,531
1404.76,167,7.93,10,3,385.49,397
1685.95,373,3.4,13,10,253.99,215
2643.34,324,9.27,10,3,161.92,986
1045.35,261,3,15,8,407.86,397
2017.01,274,6.5,9,13,434.9,898
588.16,69,3.57,17,2,339.77,447
615.55,162,2.59,11,13,33.01,632
1696.51,189,5.67,17,8,287.5,775
860.44,96,4.71,10,6,384.01,484
382.77,50,6.15,12,9,76.89,626
1135.49,139,6.83,15,5,122.05,270
1084.24,191,2.83,12,13,442.42,357
1255.72,369,3.42,9,11,19.86,847
1091.27,87,6.69,17,8,378.84,746
1873.08,342,5.07,10,7,242.15,768
3150.98,431,7.97,8,6,228.92,515
1300.42,188,7.39,9,5,13.48,148
4031.12,405,8.84,9,8,411.51,291
2767.63,382,7.69,8,13,186.31,207
1604.4,308,5.72,15,6,274.98,659
1875.86,210,7.55,10,6,341.88,603
2639,439,4.57,10,2,354.29,700
1940.67,227,4.8,16,3,478.43,844
736.55,59,8.42,12,6,270.36,969
2032.04,310,5.85,9,14,205.86,276
4322.97,456,8.49,9,4,477.31,472
2244.17,187,8.67,14,14,324.63,121
1700.2,221,8.93,11,3,156.09,292
3562.54,435,9.37,9,5,71.97,579
552.06,62,5.73,7,5,422.85,638
1100.54,217,4.89,11,5,187.47,94
1820.46,179,6.87,7,5,333.63,521
881.12,133,5.28,10,4,240.7,420
2233.91,370,7.01,11,14,107.48,904
3082.62,368,7.79,9,13,304.83,701
1144.17,150,7.66,8,8,39.73,738
1921.86,378,5.31,12,10,212.54,783
1402.3,322,3.75,7,13,277.84,976
1984.9,314,5.73,16,6,223.66,141
2153.9,448,3.57,11,5,376.85,71
4269.48,457,9.18,9,12,415.68,221
821.82,87,5.09,11,3,387.91,653
1967.63,468,3.66,9,3,29.02,241
449.08,143,2.69,9,6,105.12,126
1410.56,144,7.34,9,8,272.94,330
3151.17,354,7.28,14,11,468.06,413
807.63,118,5.05,12,11,419.13,228
1634.67,367,3.04,8,10,422.84,287
2380.12,493,5.57,8,14,158.57,184
1543.38,285,4.83,11,8,220.43,926
3930.63,483,7.58,11,6,240.65,951
2357.66,383,7.04,9,11,87.11,329
1690.9,422,5.23,14,11,25.22,68
2668.23,425,4.13,9,11,473.98,644
1621.45,186,9.91,14,7,127.95,789
2375.61,467,5.91,9,12,127.57,420
1261.85,125,7.66,7,13,50.86,826
728.54,84,3.55,7,4,464.97,161
1046.39,50,6.14,10,6,294.07,812
1401.55,345,2.71,9,9,336.85,725
3030.71,369,6.29,12,2,456.67,919
4290.67,455,9.73,16,13,179.35,729
1215.53,109,5.38,10,2,314.54,270
786.38,369,2.79,11,8,29.01,969
1007.45,398,2.73,15,6,101.52,353
2038.48,377,5.41,9,6,417.31,752
1825.22,316,3.7,17,2,385.72,374
1345.55,410,2.68,7,10,181.81,486
2134.63,278,8.17,15,2,194.64,487
1762.75,319,5.94,14,6,271.44,219
1605.64,365,4.67,15,11,10.12,424
3316.38,335,9.25,12,10,128.21,606
1171.67,340,3.37,9,5,112.03,430
2347.61,262,9.67,8,14,132.74,63
1354.03,214,4.85,15,9,404.89,792
915.61,54,9.16,8,7,147.04,718
2451.31,388,7.02,14,12,103.85,549
3662.64,428,8.7,10,4,257.09,695
1988.89,127,9.88,8,5,434.17,440
2244.93,459,4.66,10,3,128.26,598
976.17,111,9.71,7,2,48.48,614
1020.08,181,5.42,16,14,184.64,579
1527.08,138,5.39,9,9,376.35,541
1496.36,286,5.05,15,2,279.84,599
1110.55,91,6.56,7,14,410.23,748
873.7,138,3.66,7,12,480.2,434
3534.61,451,6.65,17,2,398.4,245
2400.69,345,6.56,13,5,305.86,804
3023.34,377,8.21,6,11,251.74,349
2885.78,344,8.75,12,13,29.63,864
1252.04,153,5.8,10,11,492.32,596
694.4,63,4.77,16,7,197.91,776
1404.46,337,4.45,13,10,84.59,780
1076.57,228,3.96,6,2,336.69,877
484.74,174,2.93,16,8,149.3,651
2457.88,471,5.07,12,11,297.03,357
1996.43,402,4.53,10,12,297.52,301
734.71,72,9.75,9,6,228.41,57
1361.8,112,6.68,12,13,419.7,817
846.08,192,5.1,15,9,139.83,924
1117.05,202,6.85,7,8,229.83,257
1412.21,194,3.54,17,5,273.47,986
1980.03,274,5.83,6,5,335.18,180
4226.64,499,7.2,6,7,394.15,785
2084.43,358,6.17,16,7,203.46,758
1344.53,153,5.51,17,10,326.56,703
1674.74,153,9.95,6,13,83.8,813
4626.59,484,9.1,17,6,467,657
576.32,88,7.18,10,9,197.7,75
3447.32,484,6.77,15,6,367.47,672
1744.68,247,7.15,12,3,19.97,503
943.9,183,4.01,7,7,110.54,684
942.7,116,5.46,15,10,248.67,235
1948.77,440,2.8,13,14,440.34,533
1818.12,228,6.07,9,4,268.36,729
1131.81,91,6.57,17,2,465.64,100
1949.64,497,4.21,8,2,247.06,940
974.01,64,9.73,15,14,250.32,54
1295.77,160,9.32,16,4,68.68,638
2102.07,206,7.92,13,11,403.3,209
2442.92,338,6.5,7,6,131.01,257
3036.75,280,9.02,16,4,450.81,306
2384.42,460,3.48,16,10,456.3,254
4064.34,469,8.43,8,9,472.22,816
1252.63,206,3.44,17,4,264.91,999
1510.41,87,8.46,8,10,341.78,60
2615.44,490,4.57,15,14,391.47,998
1768.82,146,9.08,16,7,74.2,57
